,OSEBuildingID,BuildingType,PrimaryPropertyType,TaxParcelIdentificationNumber,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,GHGEmissionsIntensity,BuildingAge,most_use_steam,most_use_natural,most_use_electric,use_stream,use_electricity,use_natural,percent_steam,percent_natural,percent_electricity,LargestPropertyUseTypeGFA_rate,SecondLargestPropertyUseTypeGFA_rate,ThirdLargestPropertyUseTypeGFA_rate,PropertyGFABuilding(s)_rate,PropertyGFAParking_rate,GFAPerBuilding,GFAPerFloor,NumberOfAllUseTypes,TotalGHGEmissionsLog,SiteEnergyUse(kBtu)Log,Age_cat
0,1,NonResidential,Hospitality,0659000030,DOWNTOWN,47.6122,-122.33799,1.0,12,88434,Hotel,Hotel,no information,no information,60.0,182.5,2003882.0,3946027.0,1276453.0,Compliant,2.83,89,0,0,1,1,1,1,27.73016353180203,17.66383970246716,54.60599676573081,100.0,0.0,0.0,100.0,0.0,88434.0,7369.5,5,2.3996391149642737,6.8589198036302355,"(80, 90]"
1,2,NonResidential,Hospitality,0659000220,DOWNTOWN,47.61317,-122.33393,1.0,11,103566,"Hotel, Parking, Restaurant",Hotel,Parking,Restaurant,61.0,176.1000061,0.0,3242851.0,5145082.0,Compliant,2.86,20,0,1,0,0,1,1,0.0,61.33909271807488,38.66090728192512,80.99,14.55,4.46,85.45,14.55,103566.0,9415.091,26,2.472551683114428,6.923655004584368,"(10, 20]"
2,3,NonResidential,Hospitality,0659000475,DOWNTOWN,47.61393,-122.3381,1.0,41,956110,Hotel,Hotel,no information,no information,43.0,241.8999939,21566554.0,49526664.0,1493800.0,Compliant,2.19,47,0,0,1,1,1,1,29.7113100857787,2.0579437496660904,68.23074616455521,79.12,0.0,0.0,79.43,20.57,956110.0,23319.756,5,3.3202044652067677,7.860858997084379,"(40, 50]"
3,5,NonResidential,Hospitality,0659000640,DOWNTOWN,47.61412,-122.33664,1.0,10,61320,Hotel,Hotel,no information,no information,56.0,216.1999969,2214446.25,2768924.0,1811213.0,Compliant,4.67,90,0,0,1,1,1,1,32.59134767389891,26.65671952727932,40.75193279882177,100.0,0.0,0.0,100.0,0.0,61320.0,6132.0,5,2.458532094885551,6.832162936018625,"(80, 90]"
4,8,NonResidential,Hospitality,0659000970,DOWNTOWN,47.61375,-122.34047,1.0,18,175580,"Hotel, Parking, Swimming Pool",Hotel,Parking,Swimming Pool,75.0,211.3999939,0.0,5368607.0,8803998.0,Compliant,2.88,36,0,1,0,0,1,1,0.0,62.119829064593276,37.880170935406724,70.31,38.73,0.0,64.69,35.31,175580.0,9754.444,29,2.704159099649888,7.151449744501191,"(30, 40]"
5,9,Nonresidential COS,Other,0660000560,DOWNTOWN,47.61623,-122.33657,1.0,2,97288,Police Station,Police Station,no information,no information,,316.2999878,0.0,7371434.0,4715182.0,Compliant,3.1,17,0,0,1,0,1,1,0.0,39.011597621699906,60.988402378300094,91.31,0.0,0.0,61.77,38.23,97288.0,48644.0,14,2.4811702132095,7.082304760428389,"(10, 20]"
6,10,NonResidential,Hospitality,0660000825,DOWNTOWN,47.6139,-122.33283,1.0,11,83008,Hotel,Hotel,no information,no information,27.0,146.6000061,0.0,2811215.0,2947580.0,Compliant,2.12,90,0,1,0,0,1,1,0.0,51.18397164684626,48.81602835315374,98.01,0.0,0.0,100.0,0.0,83008.0,7546.182,5,2.2483166403417796,6.760331694323706,"(80, 90]"
7,11,NonResidential,Other,0660000955,DOWNTOWN,47.61327,-122.33136,1.0,8,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,no information,no information,,141.6999969,2276286.5,3636655.0,385189.0,Compliant,2.16,90,0,0,1,1,1,1,36.14225681732063,6.115925987878467,57.7418171948009,100.0,0.0,0.0,100.0,0.0,102761.0,12845.125,37,2.3473495337314567,6.799211793076254,"(80, 90]"
8,12,NonResidential,Hospitality,0939000080,DOWNTOWN,47.60294,-122.33263,1.0,15,163984,Hotel,Hotel,no information,no information,43.0,180.8999939,0.0,7297919.0,6425900.0,Compliant,2.39,112,0,0,1,0,1,1,0.0,46.822972526816336,53.177027473183664,100.0,0.0,0.0,100.0,0.0,163984.0,10932.267,5,2.594569326395738,7.137475044911735,
9,15,NonResidential,Hospitality,0942000145,DOWNTOWN,47.60695,-122.33414,1.0,11,153163,Hotel,Hotel,no information,no information,30.0,228.1999969,5237165.5,6187627.0,4591850.0,Compliant,4.51,47,0,0,1,1,1,1,32.69827306191045,28.669242008741843,38.63248492934771,87.41,0.0,0.0,87.41,12.59,153163.0,13923.909,5,2.840269238037621,7.204571549789367,"(40, 50]"
10,16,NonResidential,Hospitality,0942000165,DOWNTOWN,47.60713,-122.33323,1.0,25,333176,Hotel,Hotel,no information,no information,36.0,199.0,5999360.5,18083049.0,2858700.0,Compliant,2.22,18,0,0,1,1,1,1,22.268424023145744,10.610921573218802,67.12065440363546,101.04,0.0,0.0,81.64,18.36,333176.0,13327.04,5,2.870386345847962,7.430415501231828,"(10, 20]"
11,17,NonResidential,Hospitality,0942000210,DOWNTOWN,47.60699,-122.33346,1.0,9,65009,Hotel,Hotel,no information,no information,48.0,153.6000061,1656352.5,1343000.0,3596705.0,Compliant,5.05,88,0,1,0,1,1,1,25.11125016724005,54.528102582489616,20.360647250270333,100.0,0.0,0.0,100.0,0.0,65009.0,7223.222,5,2.5174994019984163,6.819284498718164,"(80, 90]"
12,18,NonResidential,Hospitality,0942000235,DOWNTOWN,47.60809,-122.33212,1.0,33,315952,"Hotel, Parking",Hotel,Parking,no information,58.0,179.8999939,4337738.5,13904183.0,4083440.0,Compliant,2.05,36,0,0,1,1,1,1,19.429645069800998,18.290588486103573,62.27976644409543,93.53,18.23,0.0,81.77,18.23,315952.0,9574.303,14,2.8126593871628134,7.348798567949837,"(30, 40]"
13,19,NonResidential,Hospitality,0942000265,DOWNTOWN,47.60755,-122.33244,1.0,11,92190,"Hotel, Parking",Hotel,Parking,no information,35.0,297.3999939,4870847.5,3832369.0,2046793.0,Compliant,5.55,94,1,0,0,1,1,1,45.310169260780654,19.03991805774683,35.649912681472514,73.1,27.33,0.0,72.67,27.33,92190.0,8380.909,14,2.709600645297477,7.0314089086457505,"(90, 100]"
14,21,Nonresidential COS,Other,0942000275,DOWNTOWN,47.60649,-122.33297,1.0,11,412000,"Data Center, Library, Parking",Library,Parking,Data Center,,155.6000061,737559.5,17851297.0,0.0,Compliant,0.44,12,0,0,1,1,1,0,3.967750786607019,0.0,96.03224921339299,88.57,11.89,0.26,86.17,13.83,412000.0,37454.545,29,2.26097721137248,7.269252779951063,"(10, 20]"
15,22,NonResidential,Other,0942000350,DOWNTOWN,47.60546,-122.33279,1.0,6,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,Swimming Pool,,157.3999939,4592347.5,4453868.0,910180.0,Compliant,4.18,86,1,0,0,1,1,1,46.12459900774331,9.141661759017106,44.73373923323958,86.61,38.49,0.0,100.0,0.0,103911.0,17318.5,53,2.638349461520909,6.998102205280052,"(80, 90]"
16,23,NonResidential,Hospitality,0942000430,DOWNTOWN,47.60681,-122.33078,1.0,28,416281,"Hotel, Parking",Hotel,Parking,no information,31.0,228.5,0.0,21225277.0,12331475.0,Compliant,1.93,33,0,0,1,0,1,1,0.0,36.74811853066113,63.25188146933887,83.68,20.42,0.0,79.58,20.42,416281.0,14867.179,14,2.905196626284124,7.525779982995194,"(30, 40]"
